video_path,relative_path,label,label_name,manipulation_type,identity_group,frame_count,width,height,file_size_mb,split
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\000.mp4,original/000.mp4,0,REAL,original,original_000,396,640,480,0.85,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\001.mp4,original/001.mp4,0,REAL,original,original_001,460,1280,720,2.78,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\002.mp4,original/002.mp4,0,REAL,original,original_002,693,1280,720,2.02,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\003.mp4,original/003.mp4,0,REAL,original,original_003,303,640,480,0.58,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\004.mp4,original/004.mp4,0,REAL,original,original_004,309,1280,720,1.2,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\005.mp4,original/005.mp4,0,REAL,original,original_005,385,720,480,1.51,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\009.mp4,original/009.mp4,0,REAL,original,original_009,588,640,480,0.74,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\010.mp4,original/010.mp4,0,REAL,original,original_010,474,640,480,1.42,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\011.mp4,original/011.mp4,0,REAL,original,original_011,632,1280,720,3.23,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\012.mp4,original/012.mp4,0,REAL,original,original_012,363,640,480,0.69,train
